Full Name,Email,Church Attendance,Reception Attendance,Meal Preference,Dietary Restrictions
John Smith,john.smith@example.com,,,,
Sarah Johnson,sarah.johnson@example.com,,,,
Michael Williams,michael.williams@example.com,,,,
Emily Brown,emily.brown@example.com,,,,
David Miller,david.miller@example.com,,,,
Jennifer Davis,jennifer.davis@example.com,,,,
Robert Garcia,robert.garcia@example.com,,,,
Maria Rodriguez,maria.rodriguez@example.com,,,,
James Martinez,james.martinez@example.com,,,,
Lisa Anderson,lisa.anderson@example.com,,,,
